,Wijken en buurten,Soort misdrijf,Maand,Teststat,Totaal gemiddelde,Percentage verschil,P
149,Rubroek,1.2.4 Zakkenrollerij,juni,0.020054013756307488,0.02540053169823796,0.7895115737950729,0.049
174,Rubroek,Totaal registraties overlast,juli,0.31569452636083184,0.7238475153016214,0.4361340195100132,0.003
205,Rubroek,Totaal misdrijven,februari,0.23564119430707317,1.8682239525398594,0.12613112790183312,0.035
218,Rubroek,1.4.4 Bedreiging,maart,0.03644754600366198,0.06619175018402125,0.5506357801740138,0.032
229,Rubroek,2.5.2 Winkeldiefstal,februari,0.07772669488464816,0.17249721913236946,0.4505967996214646,0.017
250,Rubroek,1.1.1 Diefstal/inbraak woning,november,0.06358680420523827,0.08745415586349961,0.7270872787850811,0.002
257,Groot IJsselmonde,Melding overlast jeugd,juni,0.1732247663764004,0.3738757577750137,0.463321739305284,0.043
288,Groot IJsselmonde,2.2.1 Vernieling cq. zaakbeschadiging,januari,0.10571071212918236,0.4583166207298384,0.23064996412489935,0.03
290,Groot IJsselmonde,2.2.1 Vernieling cq. zaakbeschadiging,maart,0.1250223179779128,0.45692618691448805,0.2736160052943306,0.017
295,Groot IJsselmonde,2.2.1 Vernieling cq. zaakbeschadiging,augustus,-0.11544632755700608,0.4767318908586985,-0.24216195679517472,0.032
328,Groot IJsselmonde,1.2.5 Diefstal af/uit/van ov. voertuigen,mei,-0.04314106616281446,0.1047246438754244,-0.4119476043683956,0.011
334,Groot IJsselmonde,1.2.5 Diefstal af/uit/van ov. voertuigen,november,0.04234634150095775,0.09765365849904227,0.43363804440949894,0.025
352,Groot IJsselmonde,1.2.1 Diefstal uit/vanaf motorvoertuigen,mei,0.13875558546610672,0.5147037576873411,0.26958339315329893,0.029
353,Groot IJsselmonde,1.2.1 Diefstal uit/vanaf motorvoertuigen,juni,-0.14359506227942423,0.539370053571657,-0.26622735416723897,0.033
355,Groot IJsselmonde,1.2.1 Diefstal uit/vanaf motorvoertuigen,augustus,-0.18066514762102454,0.5403569651623046,-0.33434407117665077,0.004
360,Groot IJsselmonde,"1.2.3 Diefstal van brom-, snor-, fietsen",januari,-0.13993479631988415,0.41754261713891183,-0.335138954865844,0.01
361,Groot IJsselmonde,"1.2.3 Diefstal van brom-, snor-, fietsen",februari,-0.1377196771732367,0.41746384872080095,-0.32989605589858717,0.009
364,Groot IJsselmonde,"1.2.3 Diefstal van brom-, snor-, fietsen",mei,0.10608586770689776,0.39668610990865605,0.2674302554514094,0.038
368,Groot IJsselmonde,"1.2.3 Diefstal van brom-, snor-, fietsen",september,0.11185316915789045,0.39685228873215533,0.2818508859183695,0.04
371,Groot IJsselmonde,"1.2.3 Diefstal van brom-, snor-, fietsen",december,-0.1507286029131289,0.41783381616529564,-0.360738162115391,0.005
390,Groot IJsselmonde,Overlast ivm alcohol/ drugs,juli,0.04320141169609929,0.10709443168928806,0.4033954988569255,0.049
409,Groot IJsselmonde,1.2.4 Zakkenrollerij,februari,0.07215827831790013,0.08141453466814982,0.886307077870325,0.002
414,Groot IJsselmonde,1.2.4 Zakkenrollerij,juli,-0.056524913194920104,0.09319760507478668,-0.6065060700815383,0.017
429,Groot IJsselmonde,1.1.2 Diefstal/inbraak box/garage/schuur,oktober,0.059666486029111176,0.11130125590637273,0.5360809771931323,0.016
450,Groot IJsselmonde,Totaal registraties overlast,juli,0.41759789530648445,1.788738445015535,0.23345945097236243,0.035
474,Groot IJsselmonde,2.5.1 Diefstal/inbraak bedrijven enz.,juli,-0.04109201836609685,0.09095592438962467,-0.45177945957728294,0.016
475,Groot IJsselmonde,2.5.1 Diefstal/inbraak bedrijven enz.,augustus,-0.04051090699218248,0.0901785233264655,-0.4492300993388897,0.032
482,Groot IJsselmonde,3.1.3 Wapenhandel,maart,0.03485008927502503,0.04726134767512158,0.7373909333814903,0.017
485,Groot IJsselmonde,3.1.3 Wapenhandel,juni,-0.03182416157608901,0.053036282788210196,-0.6000450993741859,0.019
